"","zone","state","N.child","prop.lowstart","prop.highby30","p.upmover","Urban","Black","Seg_racial","Seg_income","Seg_poverty","Seg_affluence","Commute","Income","Gini","Share01","Gini_99","Middle_class","Local_tax_rate","Local_gov_spending","Progressivity","EITC","School_spending","Student_teacher_ratio","Test_scores","HS_dropout","Colleges","Tuition","Graduation","Labor_force_participation","Manufacturing","Chinese_imports","Teenage_labor","Migration_in","Migration_out","Foreign_born","Social_capital","Religious","Violent_crime","Single_mothers","Divorced","Married","Longitude","Latitude"
"35801","Boise City","ID",39191,0.135,0.166,0.074,1,0.006,0.085,0.072,0.061,0.083,0.342,35642,0.412,12.044,0.291,0.565,0.016,1584,0.4,0,5.057,19.5,-0.77,0.035,0.014,3783,-0.069,0.692,0.155,2.28,0.005,0.038,0.02,0.058,0.415,0.421,0.001,0.167,0.115,0.597,-115.838821411133,43.8810119628906
"35802","Ontario","OR",5165,0.238,0.154,0.084,0,0.006,0.093,0.016,0.008,0.021,0.49,27631,0.382,7.832,0.304,0.565,0.021,2174,0,1.19,5.991,18,-0.764,-0.004,0.016,1800,-0.219,0.571,0.146,0.353,0.005,0.013,0.016,0.072,-0.583,0.452,0.001,0.179,0.094,0.638,-117.264678955078,44.1263122558594
"35803","McCall","ID",1157,0.223,0.167,0.124,0,0,0.006,0.017,0.014,0.019,0.561,33157,0.49,16.583,0.324,0.585,0.027,2807,0.4,0,7.824,16.5,10.852,0,0.09,4200,NA,0.599,0.069,0.086,0.007,0.042,0.033,0.015,1.175,0.285,0.002,0.144,0.116,0.661,-115.799903869629,44.7264404296875
"36200","Logan","UT",15654,0.08,0.204,0.137,1,0.003,0.053,0.07,0.068,0.07,0.528,28953,0.291,8.962,0.201,0.666,0.015,1732,0,0,4.231,21,6.228,-0.003,0.007,1947,0.11,0.691,0.25,2.105,0.005,0.029,0.034,0.052,-0.004,0.854,0,0.102,0.056,0.604,-111.994789123535,41.9872283935547
"36301","Pocatello","ID",28411,0.132,0.185,0.093,1,0.003,0.128,0.063,0.054,0.07,0.517,30119,0.327,7.878,0.248,0.625,0.016,1984,0.4,0,4.484,19.7,3.003,-0.003,0.011,1178,0.095,0.66,0.108,0.436,0.006,0.017,0.017,0.043,-0.144,0.718,0.001,0.147,0.087,0.596,-112.316856384277,43.6178512573242
"36302","Salmon","ID",1082,0.197,0.21,0.155,0,0.001,0.013,0.005,0.001,0.006,0.582,30782,0.323,6.123,0.262,0.615,0.013,1797,0.4,0,4.926,17.7,8.031,0.014,NA,NA,NA,0.586,0.048,0.222,0.006,0.002,0.006,0.018,0.783,0.385,0.001,0.142,0.117,0.625,-114.175308227539,44.6172065734863
"36401","Steamboat Springs","CO",3440,0.106,0.292,0.159,0,0.001,0.032,0.04,0.025,0.056,0.549,39506,0.348,9.631,0.251,0.563,0.067,4647,0,1.429,5.607,17.6,8.282,NA,0.026,1732,-0.132,0.748,0.022,0.067,0.007,0.017,0.021,0.039,-0.036,0.346,0.002,0.156,0.107,0.568,-107.309448242188,40.4096908569336
"36403","Soda Springs","ID",1696,0.133,0.254,0.177,0,0.001,0.018,0.011,0.003,0.01,0.575,29943,0.251,4.487,0.207,0.691,0.021,2757,0.4,0,4.584,18.2,5.784,-0.02,NA,NA,NA,0.585,0.165,0.525,0.007,0.007,0.015,0.015,0.345,0.818,0.001,0.103,0.07,0.667,-111.763107299805,42.5429382324219
"36404","Rock Springs","WY",9826,0.098,0.329,0.205,0,0.004,0.042,0.024,0.02,0.023,0.545,33999,0.264,6.384,0.2,0.611,0.053,4123,0,0,7.307,16.1,1.942,0.021,0.012,1128,0.125,0.69,0.072,0.273,0.006,0.018,0.018,0.023,-0.666,0.602,0.001,0.15,0.11,0.618,-110.03832244873,41.9130210876465
"36502","Burns","OR",657,0.251,0.167,0.139,0,0.001,0.01,0.001,0,0.002,0.73,30896,0.283,2.673,0.256,0.593,0.038,3536,0,1.19,7.314,16,3.847,-0.019,NA,NA,NA,0.64,0.149,0.223,0.005,0.003,0.01,0.021,0.719,0.311,0.001,0.139,0.127,0.608,-119.109016418457,43.0806770324707
"36600","Redding","CA",17748,0.253,0.174,0.088,1,0.007,0.042,0.034,0.029,0.038,0.424,33442,0.434,9.24,0.341,0.541,0.019,3203,6.3,0,5.688,22.4,-9.694,NA,0.014,2351,-0.062,0.567,0.079,0.303,0.004,0.032,0.022,0.049,-0.633,0.251,0.004,0.238,0.133,0.561,-122.163536071777,40.3078002929688
"36700","Eureka","CA",10372,0.249,0.157,0.076,0,0.008,0.07,0.033,0.038,0.028,0.497,30456,0.431,8.783,0.343,0.545,0.018,2849,6.3,0,6.499,20.5,-7.355,NA,0.014,93,-0.052,0.594,0.085,0.162,0.004,0.022,0.022,0.043,0.756,0.356,0.004,0.271,0.13,0.475,-123.048484802246,40.842227935791
"36901","Crescent City","CA",3694,0.253,0.146,0.083,0,0.025,0.117,0.018,0.017,0.014,0.626,29532,0.387,8.285,0.305,0.574,0.017,2555,6.3,0,5.377,20.4,-9.264,0.002,NA,NA,NA,0.478,0.056,0.137,0.005,0.024,0.02,0.048,-0.418,0.286,0.005,0.255,0.127,0.608,-123.932952880859,42.3174858093262
"36902","Roseburg","OR",13422,0.229,0.155,0.082,0,0.002,0.01,0.021,0.019,0.021,0.462,32479,0.385,8.286,0.302,0.589,0.029,2488,0,1.19,5.806,19.4,-4.257,0.004,0.012,1732,-0.199,0.558,0.137,0.22,0.004,0.032,0.022,0.023,-0.164,0.254,0.001,0.219,0.124,0.594,-123.371940612793,43.0709075927734
"3700","Lake Charles","LA",29917,0.251,0.219,0.097,1,0.205,0.239,0.047,0.044,0.051,0.369,29462,0.442,10.245,0.34,0.517,0.026,1823,4,0,4.854,16.3,-1.394,0.014,0.018,2438,-0.005,0.59,0.125,0.357,0.003,0.018,0.023,0.016,-1.312,0.6,0.002,0.225,0.098,0.572,-93.314323425293,30.6558399200439
"37000","Modesto","CA",57212,0.251,0.169,0.094,1,0.027,0.121,0.051,0.043,0.056,0.372,31666,0.464,12.051,0.343,0.523,0.019,3836,6.3,0,5.838,23.5,-18.956,NA,0.007,333,-0.099,0.596,0.134,0.453,0.004,0.034,0.027,0.187,-1.574,0.446,0.005,0.204,0.101,0.561,-120.41040802002,37.6686401367188
"37100","Bakersfield","CA",53144,0.267,0.211,0.122,1,0.057,0.214,0.099,0.076,0.116,0.362,28781,0.48,11.528,0.365,0.484,0.028,3644,6.3,0,5.756,23.6,-21.294,NA,0.008,2006,-0.067,0.565,0.06,0.245,0.003,0.039,0.023,0.169,-1.903,0.437,0.005,0.229,0.095,0.568,-119.108604431152,35.3061866760254
"37300","Chico","CA",29054,0.257,0.175,0.095,1,0.016,0.1,0.049,0.05,0.053,0.442,31471,0.444,8.792,0.356,0.519,0.019,2904,6.3,0,5.606,22.7,-14.579,NA,0.008,92,0.076,0.58,0.083,0.409,0.004,0.033,0.022,0.126,-0.921,0.291,0.004,0.223,0.112,0.531,-121.665008544922,39.5398712158203
"37500","San Jose","CA",147560,0.143,0.232,0.129,1,0.026,0.218,0.092,0.07,0.112,0.244,52004,0.535,26.38,0.271,0.42,0.023,3361,6.3,0,5.952,24,-20.475,NA,0.01,4664,-0.084,0.664,0.224,3.15,0.004,0.025,0.038,0.312,-0.609,0.432,0.003,0.155,0.091,0.541,-121.291488647461,36.794002532959
"37700","Santa Rosa","CA",41729,0.16,0.2,0.1,1,0.013,0.074,0.065,0.062,0.069,0.349,43636,0.445,14.83,0.297,0.498,0.02,3118,6.3,0,7.597,21.3,-14.668,NA,0.01,165,-0.032,0.645,0.118,1.01,0.005,0.022,0.026,0.13,-0.103,0.323,0.004,0.207,0.127,0.525,-122.767791748047,38.9323234558105
"37800","San Francisco","CA",270012,0.135,0.234,0.122,1,0.096,0.207,0.11,0.095,0.122,0.212,54014,0.496,23.587,0.26,0.434,0.023,3650,6.3,0,5.917,22.9,-17.251,NA,0.012,4312,-0.109,0.656,0.103,0.683,0.004,0.02,0.03,0.262,-0.38,0.381,0.003,0.193,0.097,0.509,-122.198585510254,38.0660629272461
"37901","Las Vegas","NV",89044,0.186,0.157,0.08,1,0.078,0.138,0.102,0.093,0.106,0.245,38429,0.518,20.8,0.31,0.525,0.021,3148,0,0,5.344,21.1,-16.716,NA,0.008,4577,-0.176,0.635,0.04,0.255,0.004,0.061,0.036,0.165,-2.317,0.352,0.002,0.221,0.136,0.533,-114.026496887207,36.0594253540039
"37902","Reno","NV",449,0.183,0.16,0.11,0,0.046,0.244,0.015,0.013,0.012,0.687,34004,0.267,NA,NA,NA,0.018,3694,0,0,6.244,16.8,NA,NA,NA,NA,NA,0.589,0.062,-0.075,NA,0.018,0.023,0.024,-0.773,0.345,0.001,0.28,0.19,0.522,-118.591743469238,38.641918182373
"3800","Lafayette","LA",50289,0.303,0.226,0.095,1,0.27,0.194,0.059,0.058,0.058,0.339,28712,0.547,14.406,0.403,0.47,0.02,2106,4,0,4.335,17,-6.928,0.031,0.018,1822,-0.034,0.58,0.082,0.209,0.002,0.01,0.01,0.016,-0.997,0.8,0.003,0.258,0.097,0.538,-91.953857421875,30.2178287506104
"38000","San Diego","CA",175302,0.202,0.195,0.104,1,0.055,0.196,0.112,0.089,0.132,0.247,40913,0.516,17.139,0.344,0.48,0.019,3083,6.3,0,5.406,23.5,-10.538,NA,0.011,2899,0.034,0.65,0.11,1.516,0.003,0.033,0.045,0.215,-0.944,0.437,0.004,0.201,0.102,0.52,-117.107269287109,33.1088333129883
"38100","Yuma","CA",24075,0.351,0.157,0.098,1,0.027,0.223,0.062,0.052,0.075,0.45,26908,0.495,9.975,0.396,0.45,0.023,3979,6.3,0,5.565,22.8,-19.096,NA,0.007,314,-0.148,0.499,0.049,1.172,0.003,0.034,0.026,0.278,-2.661,0.486,0.003,0.216,0.077,0.591,-114.670593261719,33.0404739379883
"38200","Santa Barbara","CA",39961,0.172,0.198,0.113,1,0.02,0.154,0.077,0.069,0.082,0.448,40050,0.48,16.672,0.313,0.505,0.022,2829,6.3,0,5.718,22.3,-10.878,NA,0.011,997,0.165,0.612,0.087,1.478,0.004,0.025,0.031,0.165,0.035,0.511,0.003,0.183,0.098,0.534,-120.072280883789,34.8693542480469
"38300","Los Angeles","CA",1018874,0.243,0.175,0.096,1,0.073,0.271,0.121,0.099,0.139,0.225,38902,0.566,18.528,0.381,0.463,0.023,3609,6.3,0,5.532,24.8,-17.336,NA,0.008,4956,0.024,0.614,0.148,1.277,0.003,0.013,0.018,0.309,-1.392,0.52,0.004,0.204,0.089,0.516,-116.288673400879,34.0751686096191
"38402","Pullman","WA",4667,0.123,0.235,0.142,0,0.011,0.063,0.077,0.095,0.061,0.557,24766,0.333,6.766,0.266,0.611,0.018,1550,0,0,7.079,17.2,13.049,NA,0.026,2073,0.245,0.629,0.04,0.189,0.005,0.03,0.04,0.06,0.463,0.325,0.001,0.159,0.066,0.49,-117.456970214844,46.7306709289551
"38501","Moses Lake","WA",7768,0.192,0.207,0.097,0,0.007,0.165,0.021,0.02,0.022,0.512,29315,0.365,6.787,0.297,0.587,0.018,4621,0,0,7.336,20.5,-8.035,NA,0.011,1641,-0.082,0.624,0.128,0.586,0.005,0.024,0.026,0.182,-0.26,0.442,0.002,0.171,0.086,0.606,-119.342346191406,47.2981109619141
"38700","Longview","WA",18451,0.206,0.19,0.093,1,0.004,0.058,0.039,0.036,0.042,0.448,34298,0.379,8.287,0.296,0.576,0.021,3224,0,0,6.257,20.2,-1.591,-0.006,0.014,1660,-0.11,0.594,0.151,0.39,0.004,0.029,0.025,0.041,-0.039,0.304,0.002,0.227,0.129,0.567,-123.489311218262,46.4340553283691
"38801","Portland","OR",131471,0.12,0.201,0.093,1,0.027,0.103,0.075,0.064,0.083,0.258,41718,0.419,15.8,0.261,0.522,0.031,2861,0,1.19,6.704,21.4,-2.673,0.022,0.013,7901,-0.107,0.694,0.155,1.531,0.004,0.027,0.023,0.11,0.165,0.335,0.001,0.193,0.117,0.544,-122.585243225098,45.5073280334473
"38901","Eugene","OR",70709,0.159,0.176,0.079,1,0.007,0.094,0.058,0.055,0.062,0.381,34589,0.399,10.922,0.289,0.572,0.027,2431,0,1.19,6.184,21.1,-3.381,0.015,0.014,5190,0.07,0.639,0.152,1.144,0.004,0.025,0.022,0.077,0.372,0.291,0.001,0.205,0.111,0.545,-122.91716003418,44.4636039733887
